CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2007-01-02T15:49:49","18 SPCS","VANGUARD 1","1958-002B","EARTH","TEME","UTC","SGP4","2007-01-02T20:00:24.448320","10.83944459","0.18511050","34.2463","234.8381","215.7628","130.3841","0","U","5","999","67183","0.00000204880000","0.00000019","0.0000000000000","8624.437","132.848","3842.776","649.828","PAYLOAD","MEDIUM","US","1958-03-17","AFETR","","347356","59990632","0 VANGUARD 1","1 00005U 58002B   07002.83361630  .00000019  00000-0  20488-5 0  9996","2 00005 034.2463 234.8381 1851105 215.7628 130.3841 10.83944459671832"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2007-01-05T17:02:27","18 SPCS","VANGUARD 1","1958-002B","EARTH","TEME","UTC","SGP4","2007-01-02T22:13:03.322559","10.83944438","0.18511100","34.2463","234.5548","216.1769","129.8411","0","U","5","999","67184","-0.00000034372000","0.00000017","0.0000000000000","8624.437","132.848","3842.780","649.824","PAYLOAD","MEDIUM","US","1958-03-17","AFETR","","348349","60015665","0 VANGUARD 1","1 00005U 58002B   07002.92573290 +.00000017 +00000-0 -34372-6 0  9990","2 00005 034.2463 234.5548 1851110 216.1769 129.8411 10.83944438671845"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2007-01-05T17:02:27","18 SPCS","VANGUARD 1","1958-002B","EARTH","TEME","UTC","SGP4","2007-01-01T21:53:57.152255","10.83944619","0.18510580","34.2461","237.6719","211.6205","135.8790","0","U","5","999","67173","0.00002095900000","0.00000033","0.0000000000000","8624.436","132.848","3842.734","649.868","PAYLOAD","MEDIUM","US","1958-03-17","AFETR","","348351","60027495","0 VANGUARD 1","1 00005U 58002B   07001.91246704 +.00000033 +00000-0 +20959-4 0  9996","2 00005 034.2461 237.6719 1851058 211.6205 135.8790 10.83944619671739"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2007-01-05T17:02:27","18 SPCS","VANGUARD 2","1959-001A","EARTH","TEME","UTC","SGP4","2007-01-02T15:47:59.487360","11.82314277","0.14847230","32.8795","94.6524","306.2236","40.9849","0","U","11","999","3408","0.00016150000000","0.00000327","0.0000000000000","8139.170","121.795","2969.477","552.594","PAYLOAD","MEDIUM","US","1959-02-17","AFETR","","348349","60015666","0 VANGUARD 2","1 00011U 59001A   07002.65832740 +.00000327 +00000-0 +16150-3 0  9999","2 00011 032.8795 094.6524 1484723 306.2236 040.9849 11.82314277034084"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2007-01-05T17:02:27","18 SPCS","VANGUARD 2","1959-001A","EARTH","TEME","UTC","SGP4","2007-01-01T17:29:42.337535","11.82313442","0.14847220","32.8786","98.1243","301.0104","45.2910","0","U","11","999","3397","0.00014563000000","0.00000299","0.0000000000000","8139.174","121.795","2969.480","552.598","PAYLOAD","MEDIUM","US","1959-02-17","AFETR","","348351","60027496","0 VANGUARD 2","1 00011U 59001A   07001.72896224 +.00000299 +00000-0 +14563-3 0  9997","2 00011 032.8786 098.1243 1484722 301.0104 045.2910 11.82313442033974"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2007-01-02T07:49:46","18 SPCS","VANGUARD 2","1959-001A","EARTH","TEME","UTC","SGP4","2007-01-02T11:44:39.852095","11.82314159","0.14847410","32.8795","95.2832","305.2753","41.7611","0","U","11","999","3406","0.00016108000000","0.00000327","0.0000000000000","8139.171","121.795","2969.492","552.580","PAYLOAD","MEDIUM","US","1959-02-17","AFETR","","347244","59988824","0 VANGUARD 2","1 00011U 59001A   07002.48935014  .00000327  00000-0  16108-3 0  9991","2 00011 032.8795 095.2832 1484741 305.2753 041.7611 11.82314159 34069"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2007-01-05T17:02:27","18 SPCS","VANGUARD R/B","1959-001B","EARTH","TEME","UTC","SGP4","2007-01-02T21:00:10.322208","11.41109565","0.16815580","32.9042","218.5648","228.9696","115.3121","0","U","12","999","96025","0.00001219900000","0.00000057","0.0000000000000","8333.943","126.192","3357.209","554.407","ROCKET BODY","MEDIUM","US","1959-02-17","AFETR","","348349","60015667","0 VANGUARD R/B","1 00012U 59001B   07002.87511947 +.00000057 +00000-0 +12199-4 0  9997","2 00012 032.9042 218.5648 1681558 228.9696 115.3121 11.41109565960254"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2006-12-31T23:52:21","18 SPCS","VANGUARD R/B","1959-001B","EARTH","TEME","UTC","SGP4","2007-01-01T00:54:17.516736","11.41109514","0.16812770","32.9033","224.9583","219.3591","127.2135","0","U","12","999","96004","0.00001437200000","0.00000059","0.0000000000000","8333.943","126.192","3356.975","554.642","ROCKET BODY","MEDIUM","US","1959-02-17","AFETR","","346857","59982259","0 VANGUARD R/B","1 00012U 59001B   07001.03770274  .00000059  00000-0  14372-4 0  9991","2 00012 032.9033 224.9583 1681277 219.3591 127.2135 11.41109514960047"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2007-01-05T17:02:27","18 SPCS","VANGUARD R/B","1959-001B","EARTH","TEME","UTC","SGP4","2007-01-01T17:42:13.461983","11.41109499","0.16814530","32.9034","222.5225","223.0223","122.6160","0","U","12","999","96012","0.00001168600000","0.00000055","0.0000000000000","8333.943","126.192","3357.122","554.495","ROCKET BODY","MEDIUM","US","1959-02-17","AFETR","","348351","60027497","0 VANGUARD R/B","1 00012U 59001B   07001.73765581 +.00000055 +00000-0 +11686-4 0  9994","2 00012 032.9034 222.5225 1681453 223.0223 122.6160 11.41109499960123"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2007-01-03T00:24:46","18 SPCS","VANGUARD R/B","1959-001B","EARTH","TEME","UTC","SGP4","2007-01-02T21:00:10.322208","11.41109565","0.16815580","32.9042","218.5648","228.9696","115.3121","0","U","12","999","96025","0.00001219900000","0.00000057","0.0000000000000","8333.943","126.192","3357.209","554.407","ROCKET BODY","MEDIUM","US","1959-02-17","AFETR","","347447","59992296","0 VANGUARD R/B","1 00012U 59001B   07002.87511947  .00000057  00000-0  12199-4 0  9997","2 00012 032.9042 218.5648 1681558 228.9696 115.3121 11.41109565960254"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2007-01-05T17:02:27","18 SPCS","VANGUARD R/B","1958-002A","EARTH","TEME","UTC","SGP4","2007-01-02T22:50:57.685920","10.47954272","0.20290830","34.2652","295.6978","49.8860","326.2699","0","U","16","999","94305","0.00032735000000","0.00000215","0.0000000000000","8820.784","137.410","4232.460","652.839","ROCKET BODY","MEDIUM","US","1958-03-17","AFETR","","348349","60015668","0 VANGUARD R/B","1 00016U 58002A   07002.95205655 +.00000215 +00000-0 +32735-3 0  9999","2 00016 034.2652 295.6978 2029083 049.8860 326.2699 10.47954272943055"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2007-01-01T23:14:22","18 SPCS","VANGUARD R/B","1958-002A","EARTH","TEME","UTC","SGP4","2007-01-02T04:32:34.203264","10.47954085","0.20292280","34.2654","297.8954","46.6707","328.6136","0","U","16","999","94297","0.00035321000000","0.00000234","0.0000000000000","8820.785","137.410","4232.589","652.712","ROCKET BODY","MEDIUM","US","1958-03-17","AFETR","","347112","59986274","0 VANGUARD R/B","1 00016U 58002A   07002.18928476  .00000234  00000-0  35321-3 0  9992","2 00016 034.2654 297.8954 2029228 046.6707 328.6136 10.47954085942975"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2007-01-05T17:02:27","18 SPCS","VANGUARD R/B","1958-002A","EARTH","TEME","UTC","SGP4","2007-01-01T21:40:40.215935","10.47953986","0.20292380","34.2664","298.7222","45.4603","329.4867","0","U","16","999","94294","0.00035225000000","0.00000234","0.0000000000000","8820.786","137.410","4232.598","652.703","ROCKET BODY","MEDIUM","US","1958-03-17","AFETR","","348351","60027498","0 VANGUARD R/B","1 00016U 58002A   07001.90324324 +.00000234 +00000-0 +35225-3 0  9996","2 00016 034.2664 298.7222 2029238 045.4603 329.4867 10.47953986942943"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2007-01-05T17:02:27","18 SPCS","VANGUARD 3","1959-007A","EARTH","TEME","UTC","SGP4","2007-01-02T23:23:41.757503","11.50813344","0.16903010","33.3505","336.3884","226.7212","117.9576","0","U","20","999","66317","-0.00002872100000","-0.00000033","0.0000000000000","8287.029","125.128","3309.651","508.136","PAYLOAD","MEDIUM","US","1959-09-18","AFETR","","348349","60015669","0 VANGUARD 3","1 00020U 59007A   07002.97478886 -.00000033 +00000-0 -28721-4 0  9991","2 00020 033.3505 336.3884 1690301 226.7212 117.9576 11.50813344663179"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2007-01-05T17:02:27","18 SPCS","VANGUARD 3","1959-007A","EARTH","TEME","UTC","SGP4","2007-01-01T22:24:30.751200","11.50813441","0.16903090","33.3503","340.0664","221.2443","124.7556","0","U","20","999","66305","-0.00003003000000","-0.00000038","0.0000000000000","8287.028","125.128","3309.657","508.129","PAYLOAD","MEDIUM","US","1959-09-18","AFETR","","348351","60027499","0 VANGUARD 3","1 00020U 59007A   07001.93368925 -.00000038 +00000-0 -30030-4 0  9999","2 00020 033.3503 340.0664 1690309 221.2443 124.7556 11.50813441663058"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2007-01-01T08:18:36","18 SPCS","VANGUARD 3","1959-007A","EARTH","TEME","UTC","SGP4","2007-01-01T07:50:00.990239","11.50813533","0.16902120","33.3503","342.2118","218.0472","128.8018","0","U","20","999","66298","-0.00003037500000","-0.00000039","0.0000000000000","8287.028","125.128","3309.576","508.209","PAYLOAD","MEDIUM","US","1959-09-18","AFETR","","346963","59984078","0 VANGUARD 3","1 00020U 59007A   07001.32640035 -.00000039  00000-0 -30375-4 0  9990","2 00020 033.3503 342.2118 1690212 218.0472 128.8018 11.50813533662986"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2007-01-05T17:02:27","18 SPCS","EXPLORER 7","1959-009A","EARTH","TEME","UTC","SGP4","2007-01-02T22:34:50.123424","14.81442386","0.01768710","50.2913","227.6580","51.2964","310.3646","0","U","22","999","49352","0.00004340800000","0.00000158","0.0000000000000","7002.916","97.202","748.642","500.920","PAYLOAD","MEDIUM","US","1959-10-13","AFETR","","348349","60015670","0 EXPLORER 7","1 00022U 59009A   07002.94085791 +.00000158 +00000-0 +43408-4 0  9996","2 00022 050.2913 227.6580 0176871 051.2964 310.3646 14.81442386493520"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2007-01-02T07:45:58","18 SPCS","EXPLORER 7","1959-009A","EARTH","TEME","UTC","SGP4","2007-01-02T12:52:01.154207","14.81442116","0.01769470","50.2915","229.5163","49.7704","311.8579","0","U","22","999","49346","0.00004339800000","0.00000158","0.0000000000000","7002.917","97.202","748.696","500.867","PAYLOAD","MEDIUM","US","1959-10-13","AFETR","","347239","59988695","0 EXPLORER 7","1 00022U 59009A   07002.53612447  .00000158  00000-0  43398-4 0  9993","2 00022 050.2915 229.5163 0176947 049.7704 311.8579 14.81442116493463"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2007-01-05T17:02:27","18 SPCS","EXPLORER 7","1959-009A","EARTH","TEME","UTC","SGP4","2007-01-01T22:17:47.636448","14.81441195","0.01769180","50.2916","232.3054","47.5065","314.0673","0","U","22","999","49337","0.00003649600000","0.00000086","0.0000000000000","7002.920","97.202","748.679","500.890","PAYLOAD","MEDIUM","US","1959-10-13","AFETR","","348351","60027500","0 EXPLORER 7","1 00022U 59009A   07001.92902357 +.00000086 +00000-0 +36496-4 0  9998","2 00022 050.2916 232.3054 0176918 047.5065 314.0673 14.81441195493375"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2006-12-31T23:32:45","18 SPCS","EXPLORER 7","1959-009A","EARTH","TEME","UTC","SGP4","2007-01-01T02:52:09.475103","14.81440614","0.01768520","50.2917","236.0238","44.4937","317.0054","0","U","22","999","49325","0.00003721200000","0.00000093","0.0000000000000","7002.921","97.202","748.635","500.938","PAYLOAD","MEDIUM","US","1959-10-13","AFETR","","346829","59981550","0 EXPLORER 7","1 00022U 59009A   07001.11955411  .00000093  00000-0  37212-4 0  9993","2 00022 050.2917 236.0238 0176852 044.4937 317.0054 14.81440614493250"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2007-01-05T17:02:27","18 SPCS","TIROS 1","1960-002B","EARTH","TEME","UTC","SGP4","2007-01-02T12:47:22.594559","14.71573867","0.00246570","48.3855","50.9028","134.7165","225.5750","0","U","29","999","49414","0.00000647080000","-0.00000163","0.0000000000000","7034.189","97.854","673.398","638.710","PAYLOAD","MEDIUM","US","1960-04-01","AFETR","","348349","60015671","0 TIROS 1","1 00029U 60002B   07002.53290040 -.00000163 +00000-0 +64708-5 0  9992","2 00029 048.3855 050.9028 0024657 134.7165 225.5750 14.71573867494148"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2007-01-01T23:14:22","18 SPCS","TIROS 1","1960-002B","EARTH","TEME","UTC","SGP4","2007-01-02T04:38:29.897376","14.71573928","0.00246180","48.3855","52.4972","133.1988","227.0964","0","U","29","999","49409","0.00000820860000","-0.00000152","0.0000000000000","7034.189","97.854","673.371","638.737","PAYLOAD","MEDIUM","US","1960-04-01","AFETR","","347112","59986275","0 TIROS 1","1 00029U 60002B   07002.19340159 -.00000152  00000-0  82086-5 0  9998","2 00029 048.3855 052.4972 0024618 133.1988 227.0964 14.71573928494092"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2007-01-05T17:02:27","18 SPCS","TIROS 1","1960-002B","EARTH","TEME","UTC","SGP4","2007-01-01T13:58:31.096703","14.71574023","0.00246230","48.3856","55.3686","130.6344","229.6713","0","U","29","999","49400","0.00001064000000","-0.00000137","0.0000000000000","7034.189","97.854","673.374","638.733","PAYLOAD","MEDIUM","US","1960-04-01","AFETR","","348351","60027501","0 TIROS 1","1 00029U 60002B   07001.58230436 -.00000137 +00000-0 +10640-4 0  9995","2 00029 048.3856 055.3686 0024623 130.6344 229.6713 14.71574023494009"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2007-01-03T00:34:05","18 SPCS","TRANSIT 2A","1960-007A","EARTH","TEME","UTC","SGP4","2007-01-02T23:48:36.247680","14.31976174","0.02668310","66.6982","353.6972","287.8907","69.3256","0","U","45","999","41866","0.00001960000000","-0.00000031","0.0000000000000","7163.274","100.560","976.277","594.001","PAYLOAD","MEDIUM","US","1960-06-22","AFETR","","347461","59992633","0 TRANSIT 2A","1 00045U 60007A   07002.99208620 -.00000031  00000-0  19600-4 0  9992","2 00045 066.6982 353.6972 0266831 287.8907 069.3256 14.31976174418669"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2007-01-05T17:02:27","18 SPCS","TRANSIT 2A","1960-007A","EARTH","TEME","UTC","SGP4","2007-01-02T10:24:00.579456","14.31976098","0.02668230","66.6982","355.1657","288.2869","68.9363","0","U","45","999","41858","0.00001940800000","-0.00000032","0.0000000000000","7163.274","100.560","976.272","594.007","PAYLOAD","MEDIUM","US","1960-06-22","AFETR","","348349","60015672","0 TRANSIT 2A","1 00045U 60007A   07002.43334004 -.00000032 +00000-0 +19408-4 0  9994","2 00045 066.6982 355.1657 0266823 288.2869 068.9363 14.31976098418589"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2007-01-01T08:25:26","18 SPCS","TRANSIT 2A","1960-007A","EARTH","TEME","UTC","SGP4","2007-01-01T10:55:58.147104","14.31975936","0.02667530","66.6982","357.7358","288.9541","68.2820","0","U","45","999","41844","0.00001712500000","-0.00000041","0.0000000000000","7163.275","100.560","976.222","594.057","PAYLOAD","MEDIUM","US","1960-06-22","AFETR","","346971","59984275","0 TRANSIT 2A","1 00045U 60007A   07001.45553411 -.00000041  00000-0  17125-4 0  9994","2 00045 066.6982 357.7358 0266753 288.9541 068.2820 14.31975936418447"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2007-01-05T17:02:27","18 SPCS","TRANSIT 2A","1960-007A","EARTH","TEME","UTC","SGP4","2007-01-01T22:39:59.356800","14.31976083","0.02667540","66.6980","356.4510","288.6033","68.6272","0","U","45","999","41851","0.00001952500000","-0.00000031","0.0000000000000","7163.274","100.560","976.222","594.056","PAYLOAD","MEDIUM","US","1960-06-22","AFETR","","348351","60027502","0 TRANSIT 2A","1 00045U 60007A   07001.94443700 -.00000031 +00000-0 +19525-4 0  9992","2 00045 066.6980 356.4510 0266754 288.6033 068.6272 14.31976083418512"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2007-01-05T17:02:27","18 SPCS","SOLRAD 1 (GREB)","1960-007B","EARTH","TEME","UTC","SGP4","2007-01-02T09:11:40.595999","14.45489415","0.02223040","66.6936","326.1018","186.5895","173.2285","0","U","46","999","42781","0.00001688200000","-0.00000034","0.0000000000000","7118.560","99.620","898.673","582.176","PAYLOAD","MEDIUM","US","1960-06-22","AFETR","","348349","60015673","0 SOLRAD 1 (GREB)","1 00046U 60007B   07002.38310875 -.00000034 +00000-0 +16882-4 0  9994","2 00046 066.6936 326.1018 0222304 186.5895 173.2285 14.45489415427819"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2007-01-05T17:02:27","18 SPCS","SOLRAD 1 (GREB)","1960-007B","EARTH","TEME","UTC","SGP4","2007-01-01T23:13:51.956544","14.45489283","0.02223510","66.6935","327.2167","186.8970","172.9068","0","U","46","999","42775","0.00001539900000","-0.00000041","0.0000000000000","7118.560","99.620","898.707","582.143","PAYLOAD","MEDIUM","US","1960-06-22","AFETR","","348351","60027503","0 SOLRAD 1 (GREB)","1 00046U 60007B   07001.96796246 -.00000041 +00000-0 +15399-4 0  9997","2 00046 066.6935 327.2167 0222351 186.8970 172.9068 14.45489283427755"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2007-01-01T23:36:54","18 SPCS","SOLRAD 1 (GREB)","1960-007B","EARTH","TEME","UTC","SGP4","2007-01-01T23:13:51.956544","14.45489283","0.02223510","66.6935","327.2167","186.8970","172.9068","0","U","46","999","42775","0.00001539900000","-0.00000041","0.0000000000000","7118.560","99.620","898.707","582.143","PAYLOAD","MEDIUM","US","1960-06-22","AFETR","","347143","59987035","0 SOLRAD 1 (GREB)","1 00046U 60007B   07001.96796246 -.00000041  00000-0  15399-4 0  9997","2 00046 066.6935 327.2167 0222351 186.8970 172.9068 14.45489283427755"
